,date,code,presettle,open,high,low,close,settle,volume,amount,oi,factor,dlv_day,dlv_week,
1120,20191118,IC1912,4828,4818,4868,4805,4855,4852.4,67501,6536503.38,111626,2.307020426,0,0,
1121,20191119,IC1912,4852.4,4850,4948.4,4849,4943.6,4932.2,69117,6786496.632,112218,2.307020426,0,0,
1122,20191120,IC1912,4932.2,4939.8,4954.6,4897.8,4900.4,4908.6,59080,5822626.1,109010,2.307020426,0,0,
1123,20191121,IC1912,4908.6,4882.2,4933.2,4874,4917,4903.4,63783,6253744.684,111907,2.307020426,0,0,
1124,20191122,IC1912,4903.4,4926.4,5002.6,4832.8,4853,4852,99645,9792056.796,121602,2.307020426,0,0,
1125,20191125,IC1912,4852,4862,4885.8,4820,4874.4,4859.4,67951,6599228.32,110459,2.307020426,0,0,
1126,20191126,IC1912,4859.4,4892.4,4899.6,4843.6,4853.2,4863.2,67573,6575880.944,110580,2.307020426,0,0,
1127,20191127,IC1912,4863.2,4850.2,4919.6,4837.8,4880.2,4866.2,78409,7654322.808,110514,2.307020426,0,0,
1128,20191128,IC1912,4866.2,4874.8,4899,4857.6,4875.8,4867.8,62153,6063380.476,106645,2.307020426,0,0,
1129,20191129,IC1912,4867.8,4868,4896.8,4824,4881,4871.2,74132,7216305.408,108742,2.307020426,0,0,
1130,20191202,IC1912,4871.2,4894,4925,4870.8,4896,4882.8,62113,6082860.724,101938,2.307020426,0,0,
1131,20191203,IC1912,4882.8,4885,4925.8,4851.6,4924.8,4907.8,68556,6694897.884,105222,2.307020426,0,0,
1132,20191204,IC1912,4907.8,4906,4932.6,4887.6,4911.8,4905.6,64089,6290997.764,98240,2.307020426,0,0,
1133,20191205,IC1912,4905.6,4926.4,4980,4914.4,4960.2,4966,69665,6895949.56,101078,2.307020426,0,0,
1134,20191206,IC1912,4966,4966,5018.8,4951,5015.6,4997.4,64135,6383044.452,95822,2.307020426,0,0,
1135,20191209,IC1912,4997.4,5025.2,5046.2,5003.6,5025.6,5019,61202,6148148.596,92645,2.307020426,0,0,
1136,20191210,IC1912,5019,5006.6,5066,4998.2,5050.2,5053.8,61798,6215245.96,88012,2.307020426,0,0,
1137,20191211,IC1912,5053.8,5041,5053,5006,5031.6,5029,59973,6031926.384,81878,2.307020426,0,0,
1138,20191212,IC1912,5029,5031.6,5055,5014.6,5017.8,5027.8,55644,5601167.94,78790,2.307020426,0,0,
1139,20191213,IC1912,5027.8,5068,5107.2,5040.2,5093,5085.8,68463,6936549.564,77997,2.307020426,0,0,
1140,20191216,IC1912,5085.8,5086,5175.8,5081,5164.4,5158.4,64011,6561949.804,71439,2.307020426,0,1,
1141,20191217,IC1912,5158.4,5169,5279.8,5160,5245,5257,67609,7058435.06,61469,2.307020426,0,1,
1142,20191218,IC1912,5257,5240.2,5282,5230.4,5244.4,5245.8,54655,5746282.856,45076,2.307020426,0,1,
1143,20191219,IC1912,5245.8,5246,5265,5224.8,5250.6,5250.6,36409,3815899.92,23147,2.307020426,0,1,
1144,20191220,IC2001,5250,5256.6,5272,5193.8,5204.6,5210,63298,6620774.012,78685,2.307284086,1,1,
1145,20191223,IC2001,5210,5178,5203,5068.8,5074.2,5099.6,72603,7469700.34,81170,2.307284086,0,0,
1146,20191224,IC2001,5099.6,5095.6,5161.6,5084.4,5143.2,5149,56636,5801837.62,75644,2.307284086,0,0,
1147,20191225,IC2001,5149,5142,5186.8,5128.4,5167.8,5145.4,65731,6783759.568,77925,2.307284086,0,0,
1148,20191226,IC2001,5145.4,5162.2,5204,5144,5202.8,5184.6,64679,6697402.516,75830,2.307284086,0,0,
1149,20191227,IC2001,5184.6,5207.6,5247.6,5162.8,5163.6,5180.8,73748,7684195.816,78849,2.307284086,0,0,
1150,20191230,IC2001,5180.8,5145.8,5258,5113.8,5245,5239.8,76383,7942778.18,77018,2.307284086,0,0,
1151,20191231,IC2001,5239.8,5250,5279,5221.2,5269.8,5266.8,58295,6122230.472,73075,2.307284086,0,0,
1152,20200102,IC2001,5266.8,5300,5392.4,5281,5361.8,5368.8,68331,7312402.38,75083,2.307284086,0,0,
1153,20200103,IC2001,5368.8,5375.4,5402,5358,5378,5385,56333,6058187.528,70973,2.307284086,0,0,
1154,20200106,IC2001,5385,5360.2,5497.8,5357.6,5433,5418.2,78955,8582488.008,78765,2.307284086,0,0,
1155,20200107,IC2001,5418.2,5443,5506.8,5438.6,5501,5488.8,68365,7480920.528,70861,2.307284086,0,0,
1156,20200108,IC2001,5488.8,5480.4,5507.8,5405.2,5433.6,5432.6,79715,8704107.184,73487,2.307284086,0,0,
